Symbol,Date,Open,Open,Open,High,High,High,Low,Low,Low,Close,Close,Close,Volume,Volume,Volume,Extraction_Timestamp
,,AAPL,MSFT,GOOGL,AAPL,MSFT,GOOGL,AAPL,MSFT,GOOGL,AAPL,MSFT,GOOGL,AAPL,MSFT,GOOGL,
AAPL,2025-04-17 13:30:00+00:00,197.14999389648438,,,197.1999969482422,,,196.39999389648438,,,196.39999389648438,,,4669856.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:31:00+00:00,196.44000244140625,,,196.55499267578125,,,196.08999633789062,,,196.25999450683594,,,139416.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:32:00+00:00,196.22999572753906,,,196.3365020751953,,,195.36000061035156,,,195.4716033935547,,,334628.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:33:00+00:00,195.4199981689453,,,195.69000244140625,,,195.27000427246094,,,195.3300018310547,,,177471.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:34:00+00:00,195.3350067138672,,,195.64999389648438,,,195.05999755859375,,,195.10000610351562,,,158129.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:35:00+00:00,195.12579345703125,,,195.38499450683594,,,194.8300018310547,,,195.27000427246094,,,255045.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:36:00+00:00,195.32949829101562,,,195.36000061035156,,,194.72999572753906,,,194.97000122070312,,,158651.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:37:00+00:00,194.92999267578125,,,195.25,,,194.80999755859375,,,195.2490997314453,,,136352.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:38:00+00:00,195.24879455566406,,,195.2899932861328,,,194.76170349121094,,,194.80499267578125,,,100965.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:39:00+00:00,194.79010009765625,,,195.05999755859375,,,194.75,,,194.97999572753906,,,131548.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:40:00+00:00,194.97000122070312,,,195.24000549316406,,,194.7803955078125,,,195.22000122070312,,,134499.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:41:00+00:00,195.2113037109375,,,195.40989685058594,,,195.14010620117188,,,195.34979248046875,,,123973.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:42:00+00:00,195.331298828125,,,195.4199981689453,,,195.08999633789062,,,195.13999938964844,,,116358.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:43:00+00:00,195.19000244140625,,,195.22999572753906,,,194.87120056152344,,,194.8800048828125,,,107508.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:44:00+00:00,194.88499450683594,,,195.13999938964844,,,194.77940368652344,,,194.9409942626953,,,114550.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:45:00+00:00,194.9250030517578,,,194.9499969482422,,,194.6699981689453,,,194.86000061035156,,,114391.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:46:00+00:00,194.86000061035156,,,194.86000061035156,,,194.63999938964844,,,194.76930236816406,,,73278.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:47:00+00:00,194.7550048828125,,,194.94000244140625,,,194.72000122070312,,,194.8699951171875,,,81921.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:48:00+00:00,194.88499450683594,,,194.9499969482422,,,194.6999969482422,,,194.875,,,82314.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:49:00+00:00,194.8699951171875,,,195.12989807128906,,,194.77999877929688,,,195.11000061035156,,,95687.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:50:00+00:00,195.1300048828125,,,195.69000244140625,,,195.07000732421875,,,195.69000244140625,,,138761.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:51:00+00:00,195.69400024414062,,,195.97999572753906,,,195.5800018310547,,,195.72999572753906,,,596061.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:52:00+00:00,195.72000122070312,,,196.08999633789062,,,195.6999969482422,,,195.9600067138672,,,116435.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:53:00+00:00,195.97970581054688,,,196.05999755859375,,,195.8000030517578,,,195.85000610351562,,,86026.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:54:00+00:00,195.8699951171875,,,196.2698974609375,,,195.77000427246094,,,196.04989624023438,,,113049.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:55:00+00:00,196.03500366210938,,,196.1199951171875,,,195.82530212402344,,,196.02000427246094,,,118036.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:56:00+00:00,196.05499267578125,,,196.17999267578125,,,195.77000427246094,,,195.7899932861328,,,113942.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:57:00+00:00,195.77529907226562,,,195.8800048828125,,,195.66009521484375,,,195.72999572753906,,,61921.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:58:00+00:00,195.74749755859375,,,195.85000610351562,,,195.67999267578125,,,195.8000030517578,,,90951.0,,,2025-04-19 09:55:43.308726
AAPL,2025-04-17 13:59:00+00:00,195.75,,,196.1300048828125,,,195.74000549316406,,,196.05999755859375,,,97388.0,,,2025-04-19 09:55:43.308726
